id;hosp_name;hosp_type;type;sub_type;form_name;incharge_name;hosp_address;hosp_phone_no;normal_beds;oxygen_beds;ventilator_beds;icu_beds;on_cylinder_patient;on_piped_beds_patient;on_niv;on_intubated;jumbo_system_installed_type;available_cylinder_type_d_7;available_cylinder_type_b;cylinder_agency_name;cylinder_agency_address;available_lmo_capacity_kl;lmo_supplier_name;lmo_supplier_frequency;last_lmo_supplied_quantity;remark;created_date;created_by;last_modified;last_modified_by;free_field_1;free_field_2;free_field_3;free_field_4
1;Incredible Mongolia digital;Platinum overriding Buckinghamshire;mobile;Operations;Programmable;Wooden visualize Saint;Engineer Australia;Illinois bypass Chair;13705;34500;95027;52136;72144;68513;34618;95283;Markets Directives;18581;30873;Human;compressing TCP;32228;Money Corporate Fish;22360;62517;India intermediate override;2021-09-23;Account;2021-09-22;Borders Buckinghamshire Cross-platform;Designer vertical;Games;Regional;cyan syndicate
2;Cambridgeshire Liaison synthesizing;Islands generate mindshare;initiatives;blue Bedfordshire Bedfordshire;Generic;Internal;ability payment;application Dynamic Concrete;26083;69737;75944;91109;56914;87738;29532;46608;Steel Dakota;70250;33114;Lead;Berkshire;89586;application Chips Data;85269;47756;Squares;2021-09-23;envisioneer;2021-09-22;Tools;synergies Liechtenstein JSON;payment methodologies;Berkshire Bike Officer;blue online Israeli
3;Manager;application Operative cross-platform;orchestrate initiatives;reboot bypassing;Route indigo transform;RAM Kansas;Movies;Dynamic;77534;11299;17331;37377;39142;32703;20779;34547;mobile;32294;63715;asynchronous;Intelligent;94527;Card;62458;32809;Pants;2021-09-22;pixel;2021-09-22;Nevada panel Orchestrator;synthesize;CSS portal;Bike sexy invoice;Sleek Bahrain
4;ivory;Polarised;models array Adaptive;auxiliary Sleek;leverage;Account integrated Sahara;Borders;compressing core;42793;15197;63596;56656;8836;43016;75024;17732;Concrete;10537;23690;deposit Alaska;firmware 24;39386;Practical;82091;93451;Outdoors;2021-09-22;redefine;2021-09-22;models Buckinghamshire;Implemented Mouse Bedfordshire;Clothing;SQL;Handcrafted Bypass
5;Interactions ability withdrawal;De-engineered overriding cross-media;Practical whiteboard;parsing networks implementation;quantify Account Hat;optical Persistent;world-class Associate Kids;Bedfordshire;12229;94850;7929;42045;37617;77749;43016;79697;XSS;98150;55094;Tools;Steel deploy;58056;Concrete;49838;8362;SQL networks;2021-09-23;Computer;2021-09-23;secondary Incredible;zero;Investor;networks Borders;Multi-tiered
6;Account drive;Home evolve deposit;synthesizing clicks-and-mortar;deposit;white Ball best-of-breed;invoice GB Dalasi;York National;Borders impactful integrate;51653;75859;94170;22131;74018;35947;32361;48414;Litas 1080p;1209;17423;pink Crossing Pants;dot-com orchestrate;80378;Table Robust Corporate;86263;50458;Mississippi;2021-09-23;Self-enabling payment;2021-09-22;robust cyan back-end;Concrete budgetary;Sports invoice;Soap;USB
7;data-warehouse backing;Barbuda salmon;index;Sterling Metal;Intelligent up;index optimize virtual;Quality Handmade Group;deposit;97511;93453;11524;67107;90918;93021;5590;54258;Colorado Executive orange;6702;91478;killer;Sol Team-oriented Ball;81127;Savings IB;40308;64158;overriding Fresh e-business;2021-09-22;Estate;2021-09-23;programming Usability Fish;input;Tools indexing;Shirt Metal;incentivize Rustic
8;Mill Salad;Interactions back-end Toys;circuit;Identity;Wooden;interface THX;bifurcated policy Alabama;Research Home;83721;62877;687;30733;30028;38252;10653;19844;Haiti;17710;51850;hacking Total programming;JSON protocol Indiana;15320;Guinea sensor;5714;38443;Bahamas Dynamic;2021-09-22;Dynamic Orchestrator;2021-09-22;bandwidth;Wooden Afghani interfaces;application;drive;salmon
9;sticky Algeria;optical;Tuvalu extend;black Marketing Intelligent;Handmade New Steel;Tennessee;Rustic Fork;Identity frictionless;95305;57845;41297;84669;86562;95963;18440;11580;Intranet structure alarm;97823;85461;bypass Loan;haptic;9374;SMS;32407;4142;capacitor;2021-09-23;Saint Towels Kids;2021-09-23;Balanced optimize;unleash;invoice Taiwan;protocol;Reunion Shoes
10;e-enable Assistant Bike;SDD Music;blue ROI;help-desk Pines Unbranded;Jewelery Generic;Intelligent;maximize Account repurpose;Director;11330;96997;81493;66886;79674;425;27829;87533;Radial programming;47423;26992;Bike Arizona Soft;drive Investment orchid;79715;Myanmar Specialist holistic;46157;97414;uniform Fish Computer;2021-09-22;Estonia mobile;2021-09-22;Gorgeous withdrawal;synthesize Fish Markets;Realigned Producer multi-state;Shoes Tools pixel;Account Cuban deposit
