id;fire_audit_done_ornot;fire_audit_date;fire_faults;fire_corrective_action;fire_audit_plan;electrical_audit_done;electrical_audit_date;electrical_faults;electrical_corrective_action;electrical_audit_inspection;technical_person_appoint;tech_personname;tech_person_mob_no;technical_engineer_name;technical_engineer_address;technical_engineer_mob;technical_engineer_alternate_mob;o_2_hosp_requirement;o_2_hosp_projected_requirement;save_o_2_requirement_possible_mt;monitoring_o_2_valves_port;port_valves_shut_down;id_patient_drill_done;staff_checking_leakage;patient_o_2_req_finalized;time_by_doctor;is_lighting_installed;loc_lightning_arrerstor;created_by;created_date;last_modified_by;last_modified;free_field_1;free_field_2;free_field_3;free_field_4
1;false;2021-09-22;Tools Account transmitter;Borders Seychelles synthesizing;action-items;true;2021-09-22;Strategist;Legacy;payment Soft virtual;false;Senior;Computers deliver SAS;Iowa Human Metal;Officer Fantastic;optimizing open-source;card;91007;23601;16658;true;true;true;true;false;Self-enabling;true;architectures;up Branch Dominica;2021-09-22;Central Sudan;2021-09-23;Account;Handcrafted;Functionality Escudo Kansas;Ergonomic
2;false;2021-09-23;Berkshire Generic capacitor;turn-key optimizing;Configuration;true;2021-09-22;neutral mission-critical Ergonomic;Metal generating Down-sized;Small XSS harness;true;Lebanon;Arizona;hard black;JSON Vision-oriented Checking;Regional;maximized Books digital;73989;60517;16026;false;true;false;false;true;Music Cambridgeshire;true;parse Books channels;Borders Unbranded;2021-09-22;Director digital;2021-09-22;Division Unbranded;Assimilated SAS;Factors;Rustic Circles
3;true;2021-09-22;Ergonomic Towels;Ford Greece Dollar;deposit;true;2021-09-22;PCI;Mouse SMS;Regional azure;true;programming Web bluetooth;Borders time-frame Lead;Factors Market program;HDD;Bahamas Soft Agent;primary system;95487;60414;39484;true;true;false;true;false;Berkshire;true;Shirt;program;2021-09-22;Implementation card;2021-09-22;executive District black;up backing;Delaware Implementation Turnpike;Ergonomic Rapid Investor
4;false;2021-09-22;optimize generating;Uruguay Montana;Executive Berkshire;true;2021-09-22;hack;Developer Ridges;Configurable Greens;false;Summit;strategize Borders;feed invoice ADP;withdrawal reintermediate;local Jewelery;drive;93788;56984;48835;true;false;false;false;true;Montserrat;true;Account Quetzal;Avon Steel;2021-09-22;redundant up;2021-09-23;copy wireless;gold invoice Convertible;definition heuristic strategize;Granite Bedfordshire
5;false;2021-09-23;Palau Optimized Integration;Afghani;Markets;false;2021-09-22;connect;mindshare Bedfordshire;Senior policy;true;Washington Bridge system;Granite transmit Borders;calculate teal incremental;Customer Soap;Michigan;program;28844;94508;39908;true;false;false;false;false;infrastructure;false;plug-and-play Causeway;Montenegro transmit Orchestrator;2021-09-23;payment;2021-09-22;Director;hybrid Account International;vortals digital;Forward Granite
6;false;2021-09-22;Borders;North protocol transition;Dynamic Future;true;2021-09-22;Bacon Factors Supervisor;AI;Tuna Ireland;false;Operative;Sports programming;Handmade Money seamless;Papua Electronics;Fresh;reboot bricks-and-clicks;85726;29683;47444;false;false;false;false;true;user-facing;true;Key indexing violet;Team-oriented Checking;2021-09-22;Distributed;2021-09-23;National Franc;white;impactful mission-critical;Rubber port Rubber
7;true;2021-09-23;Dinar deploy;Mountain Switchable synthesizing;proactive Ball Michigan;false;2021-09-23;Markets Triple-buffered;Technician;Ergonomic generating transmit;false;Beauty;Gorgeous redundant Quality-focused;Direct cultivate;Steel;Customer;Malawi Associate Personal;4041;6969;50282;true;true;false;true;false;SSL Riel;false;cyan deliver;Plastic reciprocal;2021-09-23;Assistant copy;2021-09-22;parse;generate teal Account;experiences;Implementation
8;true;2021-09-23;Ports;program navigate Leone;SCSI;true;2021-09-22;monitoring repurpose unleash;Tasty Division disintermediate;Customer Nebraska Home;false;solid Hawaii Proactive;Parks Colorado;connect Licensed;end-to-end mindshare Computers;Unbranded empower Account;Corporate Pants;75571;85722;47324;false;false;true;true;false;HDD drive;true;bandwidth;Director Home actuating;2021-09-23;port;2021-09-22;optical teal Jewelery;Dakota;Generic;regional
9;true;2021-09-22;Nebraska circuit;payment calculating;District engage primary;true;2021-09-23;Implementation;bluetooth calculating Planner;Quality Generic Money;false;Center secured mesh;Central Lights;front-end Infrastructure;Outdoors Cheese;Lempira Chips reboot;Fresh Persevering;78181;53030;66518;true;false;true;false;false;robust;true;maroon;e-commerce Cambridgeshire copy;2021-09-23;Jamahiriya;2021-09-22;Computer;Account California;technologies COM Fresh;olive
10;true;2021-09-22;Ports to;invoice Union indexing;Books panel maroon;false;2021-09-22;Dynamic Tools;Credit;Bedfordshire Games Locks;true;Product pink;Virginia Persevering;Tasty Facilitator;Philippines;Executive Electronics;Refined capacitor;58342;40039;31810;true;false;true;true;false;Forward;true;Unbranded Program;Research navigate;2021-09-23;Nevada;2021-09-23;up;proactive;drive Lilangeni Pound;bandwidth
